"Timepoint","Response","Predictor","Estimate","SE","DF","t","p","EffectSize"
"T4","Biomass Host","SS Origin",-0.2093,0.0958,19,-2.1852,0.0415,0.1998
"T4","Biomass Symbiont","Origin",0.0203,0.0768,42,0.2643,0.7928,5e-04
"T4","Biomass Symbiont","Site",0.1589,0.0751,42,2.1171,0.0402,0.1213
"T4","Biomass Symbiont","Origin x Site",-0.0565,0.1085,42,-0.5208,0.6052,0.0064
"T4","Biomass Symbiont","KL Origin",0.0203,0.0726,21,0.2795,0.7826,0.0037
"T4","Biomass Symbiont","SS Origin",-0.0362,0.0807,21,-0.4491,0.658,0.0095
"T4","Chlorophyll","Origin",-0.0055,0.0544,40,-0.1019,0.9193,0.0063
"T4","Chlorophyll","Site",0.3357,0.0531,40,6.3194,0,0.6879
"T4","Chlorophyll","Origin x Site",0.05,0.0768,40,0.6507,0.519,0.0105
"T4","Chlorophyll","KL Origin",-0.0052,0.0596,19,-0.088,0.9308,4e-04
"T4","Chlorophyll","SS Origin",0.0435,0.0418,19,1.0409,0.311,0.0539
