"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Orig","Origin","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2","Fv_Fm"
"S12_H_N_12","M1_10","M1","SS","AC12","H","Heat","N","Native","M1.SS.AC12.H.N",30.3088710092738,0.106853644675263,0.132516318366694,0.403
"S12_H_N_13","M4_41","M4","SS","AC12","H","Heat","N","Native","M4.SS.AC12.H.N",40.3637503169847,0.651287350495232,0.346133347131548,0.611666666666667
"S12_H_N_14","M4_25","M4","SS","AC12","H","Heat","N","Native","M4.SS.AC12.H.N",33.9338060386632,0.565945063106649,0.15094204269819,0.544333333333333
"S12_H_N_15","M4_70","M4","SS","AC12","H","Heat","N","Native","M4.SS.AC12.H.N",44.6791491614958,0.515882697691649,0.456690881159047,0.635666666666667
"S12_H_N_16","M4_58","M4","SS","AC12","H","Heat","N","Native","M4.SS.AC12.H.N",58.1000395679252,0.391006618393793,0.282185694225431,0.551666666666667
"S12_H_N_17","M8_79","M8","SS","AC12","H","Heat","N","Native","M8.SS.AC12.H.N",34.2358839577789,1.22064245178743,0.766798252744841,0.629666666666667
"S12_H_N_18","M8_69","M8","SS","AC12","H","Heat","N","Native","M8.SS.AC12.H.N",51.8427112433841,1.13854095560121,0.913030951984412,0.606666666666667
"S12_H_N_19","M8_18","M8","SS","AC12","H","Heat","N","Native","M8.SS.AC12.H.N",41.7878319356733,0.579698256914199,1.29984250160704,0.598333333333333
"S12_H_N_20","M8_78","M8","SS","AC12","H","Heat","N","Native","M8.SS.AC12.H.N",40.6658282361004,0.910239258338118,1.04020849530978,0.577
"S12_H_N_21","M12_89","M12","SS","AC12","H","Heat","N","Native","M12.SS.AC12.H.N",44.2476092770446,0.0758196895790361,0.101656475310036,0.594333333333333
"S12_H_N_22","M12_43","M12","SS","AC12","H","Heat","N","Native","M12.SS.AC12.H.N",100.649872174804,0.12347755373614,0.0936060801313016,0.446
"S12_H_N_23","M12_12","M12","SS","AC12","H","Heat","N","Native","M12.SS.AC12.H.N",41.5720619934477,0.110162445171034,0.144793972474801,0.294666666666667
"S12_H_N_24","M12_63","M12","SS","AC12","H","Heat","N","Native","M12.SS.AC12.H.N",65.436217603594,NA,0.639416542280432,0.512
"S12_H_N_5","W2_49","W2","SS","AC12","H","Heat","N","Native","W2.SS.AC12.H.N",49.2966259251226,0.369703463296165,0.861362399619329,0.619333333333333
"S12_H_N_6","W2_94","W2","SS","AC12","H","Heat","N","Native","W2.SS.AC12.H.N",42.7803736699109,0.27538328886281,0.420768414481161,0.525
"S12_H_N_7","W2_88","W2","SS","AC12","H","Heat","N","Native","W2.SS.AC12.H.N",54.129872630975,NA,0.325025704751656,0.610666666666667
"S12_H_N_8","W2_37","W2","SS","AC12","H","Heat","N","Native","W2.SS.AC12.H.N",41.1405221089966,0.327749851211814,0.810283834310167,0.617333333333333
"S12_H_N_9","M1_41","M1","SS","AC12","H","Heat","N","Native","M1.SS.AC12.H.N",50.2028596824699,0.32910210237358,0.370792024951121,0.613
"S12_H_T_10","M1_77","M1","SS","AC12","H","Heat","T","Transplant","M1.SS.AC12.H.T",40.2774423400944,0.280219878528998,0.269014301069808,0.546666666666667
"S12_H_T_11","M1_96","M1","SS","AC12","H","Heat","T","Transplant","M1.SS.AC12.H.T",62.5880543662167,0.107758582181466,0.0950980192669597,0.383
"S12_H_T_12","M1_31","M1","SS","AC12","H","Heat","T","Transplant","M1.SS.AC12.H.T",32.0781845355234,0.0428712540909872,0.0415670343975794,0.41
"S12_H_T_13","M4_84","M4","SS","AC12","H","Heat","T","Transplant","M4.SS.AC12.H.T",27.3312458065612,0.644098338019189,0.283642613837199,0.525
"S12_H_T_14","M4_44","M4","SS","AC12","H","Heat","T","Transplant","M4.SS.AC12.H.T",15.7659769032715,0.299470183735984,0.28028355154339,0.494333333333333
"S12_H_T_15","M4_49","M4","SS","AC12","H","Heat","T","Transplant","M4.SS.AC12.H.T",13.8240474232416,0.638066869753138,0.495397606093725,0.527333333333333
"S12_H_T_16","M4_62","M4","SS","AC12","H","Heat","T","Transplant","M4.SS.AC12.H.T",30.4814869630543,0.638908682187047,0.323641429040426,0.559333333333333
"S12_H_T_17","M8_42","M8","SS","AC12","H","Heat","T","Transplant","M8.SS.AC12.H.T",28.3669415292439,1.52286362238942,1.77490266083479,0.597333333333333
"S12_H_T_18","M8_10","M8","SS","AC12","H","Heat","T","Transplant","M8.SS.AC12.H.T",16.0249008339422,0.584359310365625,0.545356260894258,0.586333333333333
"S12_H_T_19","M8_41","M8","SS","AC12","H","Heat","T","Transplant","M8.SS.AC12.H.T",28.1511715870183,0.704917967812668,1.35381079548301,0.570333333333333
"S12_H_T_20","M8_50","M8","SS","AC12","H","Heat","T","Transplant","M8.SS.AC12.H.T",34.6674238422301,1.15251425031846,0.971495896357135,0.583
"S12_H_T_21","M12_91","M12","SS","AC12","H","Heat","T","Transplant","M12.SS.AC12.H.T",64.1415979502407,0.257019893384256,0.159218047668887,0.479333333333333
"S12_H_T_22","M12_11","M12","SS","AC12","H","Heat","T","Transplant","M12.SS.AC12.H.T",61.7681285857596,0.126223671956891,0.0687496302256278,0.488666666666667
"S12_H_T_23","M12_28","M12","SS","AC12","H","Heat","T","Transplant","M12.SS.AC12.H.T",49.6418578326835,0.449613309703834,0.429565067284011,0.304666666666667
"S12_H_T_24","M12_54","M12","SS","AC12","H","Heat","T","Transplant","M12.SS.AC12.H.T",54.3024885847554,0.461843535848078,0.30100204292642,0.317333333333333
"S12_H_T_5","W2_55","W2","SS","AC12","H","Heat","T","Transplant","W2.SS.AC12.H.T",60.3008929786258,0.219331743639154,0.428794976703996,0.586333333333333
"S12_H_T_6","W2_41","W2","SS","AC12","H","Heat","T","Transplant","W2.SS.AC12.H.T",41.4426000281124,0.297037347841341,0.29909802936089,0.566666666666667
"S12_H_T_7","W2_86","W2","SS","AC12","H","Heat","T","Transplant","W2.SS.AC12.H.T",42.1762178316793,0.365739765039188,0.290119328594923,0.489333333333333
"S12_H_T_8","W2_22","W2","SS","AC12","H","Heat","T","Transplant","W2.SS.AC12.H.T",35.2715796804616,0.213159057087297,0.429212701476655,0.549
