"Site","ID","Orig","Origin","Genotype","TL.TP1_cm","TL.TP2_cm","TL.TP3_cm","TL.TP4_cm","Set","Site.Orig","TP1","TP2","TP1.2_days","T1.2_Ext_cm","T1.2_TLE_cm.day","TP3","TP4","TP3.4_days","T3.4_Ext_cm","T3.4_TLE_cm.day"
"KL","K12_N_6","N","Native","AC12",15.81,24.37,14.32,66.569,"KL.AC12.N","KL.N",2021-08-26,2021-12-09,105,8.56,0.0815238095238095,2022-03-28,2022-08-04,129,52.249,0.405031007751938
"KL","K12_N_7","N","Native","AC12",27.675,56.44,18.548,69.695,"KL.AC12.N","KL.N",2021-08-26,2021-12-09,105,28.765,0.273952380952381,2022-03-28,2022-08-04,129,51.147,0.396488372093023
"KL","K12_N_8","N","Native","AC12",39.892,51.86,13.301,51.653,"KL.AC12.N","KL.N",2021-08-26,2021-12-09,105,11.968,0.113980952380952,2022-03-28,2022-08-04,129,38.352,0.297302325581395
"KL","K12_T_17","T","Transplant","AC12",29.32,29.86,15.442,39.85,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,0.539999999999999,0.00514285714285713,2022-03-28,2022-08-04,129,24.408,0.189209302325581
"KL","K12_T_18","T","Transplant","AC12",30.777,49.098,13.584,44.904,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,18.321,0.174485714285714,2022-03-28,2022-08-04,129,31.32,0.242790697674419
"KL","K12_T_2","T","Transplant","AC12",10.567,14.93,13.632,57.637,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,4.363,0.0415523809523809,2022-03-28,2022-08-04,129,44.005,0.341124031007752
"KL","K12_T_3","T","Transplant","AC12",52.813,92.643,11.299,50.643,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,39.83,0.379333333333333,2022-03-28,2022-08-04,129,39.344,0.304992248062016
"KL","K12_T_4","T","Transplant","AC12",58.042,97.559,16.604,38.465,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,39.517,0.376352380952381,2022-03-28,2022-08-04,129,21.861,0.16946511627907
"KL","K12_T_5","T","Transplant","AC12",16.287,31.242,17.514,27.09,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,14.955,0.142428571428571,2022-03-28,2022-08-04,129,9.576,0.0742325581395349
"KL","K12_T_6","T","Transplant","AC12",29.538,42.053,13.744,38.059,"KL.AC12.T","KL.T",2021-08-26,2021-12-09,105,12.515,0.119190476190476,2022-03-28,2022-08-04,129,24.315,0.188488372093023
