"Metric","Predictor","Estimate","SE","DF","t","p","EtaSq"
"FvFm","Site",0.0139807233547056,0.00834031963890326,42.9999999996987,1.67628148080713,0.100940160448372,0.291100050901909
"FvFm","Treatment",-0.0441898293966571,0.00852776595656462,42.9999999996697,-5.18187642833233,5.56812044257878e-06,0.41747986916297
"FvFm","Site x Treatment",0.0221619515389162,0.0119282741370669,42.9999999996863,1.85793445759671,0.0700338244364695,0.0743116843265678
"FvFm","Control Site",-0.0139807233547056,0.00834031963890327,41.001081081081,-1.67628148080713,0.405172932275294,NA
"FvFm","Heated Site",-0.0361426748936218,0.00854540354718903,41.1638605634091,-4.22948719671767,0.000509378819275134,NA
"FvFm","KL Treatment",0.0441898293966571,0.00854540354718902,41.1638605634092,5.17118110954434,2.55799712017782e-05,NA
"FvFm","SS Treatment",0.0220278778577409,0.00834031963890326,41.001081081081,2.64113113303143,0.0465602699752065,NA
"Symbionts","Site",0.195082423505223,0.061984583173284,41.0030792916801,3.14727329794009,0.00306778179366491,0.301111446712016
"Symbionts","Treatment",-0.203700390481838,0.063400800520617,41.1098508994173,-3.21289934526296,0.00255559727372733,0.358415109434139
"Symbionts","Site x Treatment",-0.0172427624445758,0.0886665103509822,41.0579853880389,-0.194467588453873,0.846768817372385,0.000920231268641703
"Symbionts","Control Site",-0.195082423505223,0.061984583173284,41.0004458654301,-3.14727329794009,0.0122715535898293,NA
"Symbionts","Heated Site",-0.177839661060648,0.0634871382820689,41.1073517773743,-2.80119195592843,0.0309077059989847,NA
"Symbionts","KL Treatment",0.203700390481838,0.0634871382820689,41.1073517773744,3.2085300423656,0.0103474268554329,NA
"Symbionts","SS Treatment",0.220943152926413,0.061984583173284,41.0004458654301,3.56448558036996,0.00377125924719434,NA
"Chlorophyll","Site",0.278104963198538,0.0363542676484478,39.9925529927282,7.64985739467678,2.37517732236883e-09,0.58459090742195
"Chlorophyll","Treatment",-0.372946307659709,0.0372071870041799,40.0057784828152,-10.023501847044,1.80190569933638e-12,0.881468519696247
"Chlorophyll","Site x Treatment",-0.161166197044539,0.0526450775744242,40.0127819252223,-3.06137258163783,0.00392603081014514,0.189775095137176
"Chlorophyll","Control Site",-0.278104963198538,0.0363542676484478,40.000006905672,-7.64985739467678,9.48931459587976e-09,NA
"Chlorophyll","Heated Site",-0.116938766153999,0.0380964347952238,40.0384632846751,-3.06954618673817,0.0153563192558978,NA
"Chlorophyll","KL Treatment",0.372946307659709,0.0372136249181165,40.0131857274852,10.0217677928535,7.22876533521241e-12,NA
"Chlorophyll","SS Treatment",0.534112504704248,0.0372136249181165,40.0131857274852,14.3526062263348,9.04763121663906e-17,NA
