"Site","TimeP","Temp.a","Cond.a","Temp.sd","Cond.sd","PAR.a","Sat.hr","TN_uM","TP_uM","N.P","DIN_uM"
"KL","TP1",28.7244431741192,51.0830934535908,0.104861251048046,0.364613471330338,128.679861111111,3.85772357723577,5.596,0.2666,21.0273031909137,0.4384
"KL","TP2",27.4321511627907,52.0323363210594,0.0831966557864347,0.332923061856171,71.2751937984496,1.49418604651163,5.464,0.291,18.8876650564973,1.01583333333333
"KL","TP3",26.5487411077236,52.1268651338076,0.0861451379756895,0.377942669452042,139.995714769648,4.95121951219512,5.3825,0.346333333333333,15.6792959843233,0.433666666666667
"KL","TP4",27.223610745614,50.3148388157895,0.0932070244476556,1.21005921028007,163.6025,5.97368421052632,5.04366666666667,0.313833333333333,16.1418416581082,0.9435
"SS","TP1",28.6674034552846,51.5444917852304,0.102386400059488,0.401174544644777,179.55433604336,5.95731707317073,5.576,0.278,20.0881743146405,0.1685
"SS","TP2",27.3781274224806,51.0624983042636,0.0790366580463626,0.496525167295719,97.4734011627907,3.24612403100775,5.62516666666667,0.286,19.7408077713419,0.7695
"SS","TP3",26.5116260162602,49.7789325880759,0.0853463699755721,0.834117858417048,185.19877201897,6.19512195121951,5.1245,0.345166666666667,14.9084956860712,0.408
"SS","TP4",27.1726030701754,48.1990815789474,0.0965701668952259,0.414558317610709,257.476220760234,8.20526315789474,5.16157142857143,0.312,16.6429336816421,0.741428571428571
