"RandN","ID","TimeP","Site","Genotype","Orig","Origin","Set","Site.Orig","SA_cm2","TP_ug.cm2","AFDW_mg.cm2","Chl_ug.cm2"
"164","K10_N_20","TP3","KL","AC10","N","Native","TP3.KL.AC10.M.N","KL.N",34.279037946224,600.998640495474,1.44257257387374,0.959687084906178
"165","K10_T_17","TP3","KL","AC10","T","Transplant","TP3.KL.AC10.M.T","KL.T",37.6450490449427,501.996302902554,1.3946057006679,0.785200198961383
"166","K8_N_20","TP3","KL","AC8","N","Native","TP3.KL.AC8.M.N","KL.N",35.2284256920165,472.212213718777,1.0450367643974,1.08616037328831
"167","K12_T_19","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",33.5454201426571,543.105462127007,1.27707448044521,1.07411980075877
"168","K12_T_17","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",28.2806335523536,622.338027396595,1.36135564037943,1.07585213547905
"169","S12_T_17","TP3","SS","AC12","T","Transplant","TP3.SS.AC12.M.T","SS.T",39.7595944787531,732.533911625215,1.92406388955701,2.72286479324764
"170","S8_T_20","TP3","SS","AC8","T","Transplant","TP3.SS.AC8.M.T","SS.T",34.66742384223,596.839634389221,1.51439000021824,1.44028584954088
"171","S8_N_19","TP3","SS","AC8","N","Native","TP3.SS.AC8.M.N","SS.N",26.1229341300981,796.571392926021,1.93699527579868,1.96394477528805
"172","S12_N_19","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",28.021709621683,720.62891070932,2.08838078725639,1.75162938531129
"173","S8_T_18","TP3","SS","AC8","T","Transplant","TP3.SS.AC8.M.T","SS.T",36.2641214146991,655.929583737023,2.0171452429108,1.48492452684946
"174","S12_T_20","TP3","SS","AC12","T","Transplant","TP3.SS.AC12.M.T","SS.T",36.9114312413758,1029.04481901392,2.92998662914946,2.17295014857328
"175","K12_T_18","TP3","KL","AC12","T","Transplant","TP3.KL.AC12.M.T","KL.T",46.0169228032942,691.235119152719,1.97427369031936,0.974041662707428
"176","K10_T_20","TP3","KL","AC10","T","Transplant","TP3.KL.AC10.M.T","KL.T",30.9130268475054,636.026295156941,1.53333415824419,0.672687281726931
"177","K10_N_18","TP3","KL","AC10","N","Native","TP3.KL.AC10.M.N","KL.N",32.5097244199745,705.544326646423,1.85944363043752,0.942917866789596
"178","K8_T_18","TP3","KL","AC8","T","Transplant","TP3.KL.AC8.M.T","KL.T",38.2492048831742,650.596179627453,1.74670297602421,1.16508513408611
"179","S10_T_20","TP3","SS","AC10","T","Transplant","TP3.SS.AC10.M.T","SS.T",17.6647523948564,801.802745131994,2.09796317387338,1.5101015515942
"180","S12_N_18","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",35.0989637266811,852.911538447463,2.36146573002648,2.15997697036573
"181","K8_N_18","TP3","KL","AC8","N","Native","TP3.KL.AC8.M.N","KL.N",31.8624145932978,847.522207541924,2.35512596762784,1.74565301186244
"182","K12_N_17","TP3","KL","AC12","N","Native","TP3.KL.AC12.M.N","KL.N",38.55128280229,671.572683154362,2.01004984444763,1.62346089288324
"183","K8_T_19","TP3","KL","AC8","T","Transplant","TP3.KL.AC8.M.T","KL.T",27.9785556332378,738.705270429059,1.95882163176761,1.00987688703632
"184","S12_N_17","TP3","SS","AC12","N","Native","TP3.SS.AC12.M.N","SS.N",39.8890564440884,1103.56283454037,2.80227235148264,2.22252487030534
"185","K12_N_19","TP3","KL","AC12","N","Native","TP3.KL.AC12.M.N","KL.N",32.4234164430842,812.425553054161,2.13965730976499,1.46766355575761
