RandN,ID,TimeP,Site,Genotype,Treat,Treatment,Orig,Origin,Vol_ml,Wax.I_g,Wax.F_g
M12_17,S10_C_T_24,M12,SS,AC10,C,Control,T,Transplant,14.2,10.761,12.264
M12_18,S10_C_N_23,M12,SS,AC10,C,Control,N,Native,8.9,6.339,7.338
M12_19,K8_H_T_22,M12,KL,AC8,H,Heat,T,Transplant,3.3,3.031,3.617
M12_20,K8_C_N_23,M12,KL,AC8,C,Control,N,Native,8.4,5.663,7.623
M12_21,K12_H_N_23,M12,KL,AC12,H,Heat,N,Native,7.5,8.71,10.056
M12_22,K8_C_N_22,M12,KL,AC8,C,Control,N,Native,7.4,3.617,4.343
M12_23,S8_H_T_24,M12,SS,AC8,H,Heat,T,Transplant,5.8,7.065,8.554
M12_24,K12_C_N_24,M12,KL,AC12,C,Control,N,Native,9.2,8.728,9.85
M12_25,S8_H_T_23,M12,SS,AC8,H,Heat,T,Transplant,6.5,4.613,5.353
M12_26,K8_H_N_23,M12,KL,AC8,H,Heat,N,Native,9.9,7.668,9.045
M12_27,K12_C_N_21,M12,KL,AC12,C,Control,N,Native,15,6.378,7.46
M12_28,S12_H_T_23,M12,SS,AC12,H,Heat,T,Transplant,8.4,5.802,6.924
M12_29,K10_H_T_22,M12,KL,AC10,H,Heat,T,Transplant,8.5,7.051,8.133
M12_30,S10_H_N_23,M12,SS,AC10,H,Heat,N,Native,5,6.131,7.098
M12_31,S10_H_T_22,M12,SS,AC10,H,Heat,T,Transplant,4,8.316,9.433
M12_32,S10_C_N_21,M12,SS,AC10,C,Control,N,Native,12,8.781,9.942
M12_33,K12_C_T_22,M12,KL,AC12,C,Control,T,Transplant,9.5,5.507,6.261
M12_34,S10_H_N_22,M12,SS,AC10,H,Heat,N,Native,7.7,9.621,10.955
M12_35,K8_H_N_22,M12,KL,AC8,H,Heat,N,Native,5.2,8.045,9.138
M12_36,K10_H_N_21,M12,KL,AC10,H,Heat,N,Native,5,7.484,8.598
M12_37,K12_C_T_23,M12,KL,AC12,C,Control,T,Transplant,6,5.176,5.965
M12_38,S10_H_T_23,M12,SS,AC10,H,Heat,T,Transplant,4.3,6.307,7.207
M12_39,S8_C_T_24,M12,SS,AC8,C,Control,T,Transplant,12.7,8.266,10.272
M12_40,K8_C_N_21,M12,KL,AC8,C,Control,N,Native,7.9,4.289,5.129
M12_41,K12_C_T_21,M12,KL,AC12,C,Control,T,Transplant,13.5,9.407,10.906
M12_42,K12_H_T_21,M12,KL,AC12,H,Heat,T,Transplant,4.8,5.66,6.746
M12_43,S12_H_N_22,M12,SS,AC12,H,Heat,N,Native,12,10.882,13.186
M12_44,S12_C_N_23,M12,SS,AC12,C,Control,N,Native,25,9.44,10.775
M12_45,S10_H_N_24,M12,SS,AC10,H,Heat,N,Native,4.4,4.651,5.389
M12_46,S8_H_N_24,M12,SS,AC8,H,Heat,N,Native,10.7,5.202,6.361
M12_47,S12_C_T_22,M12,SS,AC12,C,Control,T,Transplant,13.2,6.295,7.518
M12_48,S10_H_T_21,M12,SS,AC10,H,Heat,T,Transplant,9,8.662,10.013
M12_49,S10_C_T_22,M12,SS,AC10,C,Control,T,Transplant,14.4,9.333,10.71
M12_50,S12_C_T_24,M12,SS,AC12,C,Control,T,Transplant,13.7,5.983,7.091
M12_51,S12_C_T_23,M12,SS,AC12,C,Control,T,Transplant,14.5,6.557,7.79
M12_52,K12_C_N_22,M12,KL,AC12,C,Control,N,Native,9.5,5.104,5.942
M12_53,K8_H_T_21,M12,KL,AC8,H,Heat,T,Transplant,4.5,4.503,5.279
M12_54,S12_H_T_24,M12,SS,AC12,H,Heat,T,Transplant,5.2,6.363,7.593
M12_55,K10_C_N_22,M12,KL,AC10,C,Control,N,Native,18,10.583,12.282
M12_56,K10_H_N_23,M12,KL,AC10,H,Heat,N,Native,8.5,13.636,15.673
M12_57,S8_H_N_23,M12,SS,AC8,H,Heat,N,Native,3.5,4.484,5.206
M12_58,K10_C_N_24,M12,KL,AC10,C,Control,N,Native,5.5,5.101,5.823
M12_59,S8_H_N_21,M12,SS,AC8,H,Heat,N,Native,4.8,6.072,7.309
M12_60,S8_H_T_21,M12,SS,AC8,H,Heat,T,Transplant,5.8,7.014,8.375
M12_61,K12_H_N_22,M12,KL,AC12,H,Heat,N,Native,5.9,8.04,9.232
M12_62,K10_H_N_22,M12,KL,AC10,H,Heat,N,Native,5.5,7.27,8.232
M12_63,S12_H_N_24,M12,SS,AC12,H,Heat,N,Native,12.5,7.701,9.189
M12_64,K8_C_T_23,M12,KL,AC8,C,Control,T,Transplant,7.3,4.557,5.356
M12_65,S8_C_N_22,M12,SS,AC8,C,Control,N,Native,6.5,3.771,4.578
M12_66,K12_H_T_23,M12,KL,AC12,H,Heat,T,Transplant,6,7.491,8.612
M12_67,K8_H_T_24,M12,KL,AC8,H,Heat,T,Transplant,4.6,6.706,7.775
M12_68,S8_C_T_22,M12,SS,AC8,C,Control,T,Transplant,9.2,4.512,5.528
M12_69,S12_C_N_24,M12,SS,AC12,C,Control,N,Native,15,7.357,8.943
M12_70,K8_H_N_24,M12,KL,AC8,H,Heat,N,Native,4.3,4.037,4.947
M12_71,S8_H_T_22,M12,SS,AC8,H,Heat,T,Transplant,4.5,4.63,5.572
M12_72,K10_C_T_23,M12,KL,AC10,C,Control,T,Transplant,8.1,8.175,9.322
M12_73,K12_H_T_24,M12,KL,AC12,H,Heat,T,Transplant,4.5,5.279,6.097
M12_74,K10_C_T_22,M12,KL,AC10,C,Control,T,Transplant,10,8.433,9.464
M12_75,S8_C_N_21,M12,SS,AC8,C,Control,N,Native,10.1,7.605,9.103
M12_76,S12_C_N_21,M12,SS,AC12,C,Control,N,Native,10.9,7.423,8.561
M12_77,K10_H_T_24,M12,KL,AC10,H,Heat,T,Transplant,4.4,6.766,7.833
M12_78,K8_C_N_24,M12,KL,AC8,C,Control,N,Native,7.4,4.563,5.475
M12_79,K10_H_N_24,M12,KL,AC10,H,Heat,N,Native,4.6,7.925,9.244
M12_80,K8_C_T_22,M12,KL,AC8,C,Control,T,Transplant,5.8,3.24,3.9
M12_81,K10_C_T_24,M12,KL,AC10,C,Control,T,Transplant,7.4,6.731,7.746
M12_82,S10_H_T_24,M12,SS,AC10,H,Heat,T,Transplant,2.9,3.258,3.775
M12_83,K12_C_T_24,M12,KL,AC12,C,Control,T,Transplant,5,5.439,6.124
M12_84,S8_C_T_21,M12,SS,AC8,C,Control,T,Transplant,11.9,6.263,7.558
M12_85,K8_C_T_24,M12,KL,AC8,C,Control,T,Transplant,10,3.298,3.8
M12_86,K8_C_T_21,M12,KL,AC8,C,Control,T,Transplant,9.4,3.235,3.797
M12_87,K12_C_N_23,M12,KL,AC12,C,Control,N,Native,6.9,5.655,6.51
M12_88,S10_C_N_24,M12,SS,AC10,C,Control,N,Native,5.3,4.168,4.815
M12_89,S12_H_N_21,M12,SS,AC12,H,Heat,N,Native,3.6,4.934,5.931
M12_90,K12_H_N_24,M12,KL,AC12,H,Heat,N,Native,4,6.81,7.674
M12_91,S12_H_T_21,M12,SS,AC12,H,Heat,T,Transplant,5,8.56,10.018
M12_92,K10_C_N_23,M12,KL,AC10,C,Control,N,Native,5.1,7.532,8.562
M12_93,S12_C_N_22,M12,SS,AC12,C,Control,N,Native,11,6.084,7.005
M12_94,K10_H_T_21,M12,KL,AC10,H,Heat,T,Transplant,4,4.619,5.236
M12_95,S10_C_T_23,M12,SS,AC10,C,Control,T,Transplant,6.3,5.757,6.633
M12_96,S10_C_N_22,M12,SS,AC10,C,Control,N,Native,7,6.181,6.928
