ID,Orig,Origin,Genotype,Site,TL.TP1_cm,TL.TP2_cm,TL.TP3_cm,TL.TP4_cm
K8_T_14,T,Transplant,AC8,KL,29.93,47.27,NA,NA
K8_T_17,T,Transplant,AC8,KL,35.703,52.381,15.805,42.297
K8_T_18,T,Transplant,AC8,KL,32.666,56.305,13.421,35.412
K10_N_1,N,Native,AC10,KL,19.908,24.57,13.525,27.976
K10_N_2,N,Native,AC10,KL,7.634,10.42,NA,NA
K10_N_3,N,Native,AC10,KL,NA,NA,14.166,37.585
K10_N_5,N,Native,AC10,KL,4.299,10.076,19.058,30.195
K10_N_6,N,Native,AC10,KL,5.582,9.931,20.079,28.264
K10_N_7,N,Native,AC10,KL,14.488,26.897,18.893,37.245
K10_N_8,N,Native,AC10,KL,5.84,11.761,14.273,38.768
K10_N_13,N,Native,AC10,KL,21.691,29.104,17.588,32.754
K10_N_14,N,Native,AC10,KL,25.937,41.93,19.166,30.79
K10_N_17,N,Native,AC10,KL,16.19,20.818,5.947,12.404
K10_N_18,N,Native,AC10,KL,26.61,36.947,19.961,44.464
K10_T_1,T,Transplant,AC10,KL,22.985,40.727,14.977,36.357
K10_T_2,T,Transplant,AC10,KL,9.196,12.56,14.728,29.831
K10_T_3,T,Transplant,AC10,KL,8.627,11.842,23.396,54.467
K10_T_5,T,Transplant,AC10,KL,2.575,6.272,9.752,17.669
K10_T_7,T,Transplant,AC10,KL,2.786,4.821,9.922,13.648
K10_T_8,T,Transplant,AC10,KL,9.953,19.339,14.903,24.726
K10_T_13,T,Transplant,AC10,KL,12.975,26.64,11.298,21.491
K10_T_14,T,Transplant,AC10,KL,18.238,25.26,15.879,27.784
K10_T_17,T,Transplant,AC10,KL,24.344,34.76,10.977,18.929
K10_T_18,T,Transplant,AC10,KL,32.76,41.654,18.381,32.883
K12_N_2,N,Native,AC12,KL,11.152,19.82,15.654,65.037
K12_N_5,N,Native,AC12,KL,42.535,51.221,18.406,36.79
K12_N_6,N,Native,AC12,KL,15.81,24.37,14.32,66.569
K12_N_7,N,Native,AC12,KL,27.675,56.44,18.548,69.695
K12_N_8,N,Native,AC12,KL,39.892,51.86,13.301,51.653
K12_N_13,N,Native,AC12,KL,34.457,34.78,16.089,32.487
K12_N_14,N,Native,AC12,KL,49.503,69.511,14.329,48.627
K12_N_15,N,Native,AC12,KL,29.782,32.336,9.536,50.683
K12_N_16,N,Native,AC12,KL,45.038,79.757,14.312,39.071
K12_N_18,N,Native,AC12,KL,32.644,72.529,12.268,32.369
K12_T_2,T,Transplant,AC12,KL,10.567,14.93,13.632,57.637
K12_T_3,T,Transplant,AC12,KL,52.813,92.643,11.299,50.643
K12_T_4,T,Transplant,AC12,KL,58.042,97.559,16.604,38.465
K12_T_5,T,Transplant,AC12,KL,16.287,31.242,17.514,27.09
K12_T_6,T,Transplant,AC12,KL,29.538,42.053,13.744,38.059
K12_T_7,T,Transplant,AC12,KL,4.168,7.753,10.072,32.416
K12_T_8,T,Transplant,AC12,KL,25.725,50.651,8.624,30.849
K12_T_9,T,Transplant,AC12,KL,18.083,26.26,12.734,40.651
K12_T_17,T,Transplant,AC12,KL,29.32,29.86,15.442,39.85
K12_T_18,T,Transplant,AC12,KL,30.777,49.098,13.584,44.904
