Row,Column,Well,Plate,RandN,Rep,A630,A663,A750
C,3,C3,1B,19,B,0.069,0.147,0.041
D,3,D3,1B,20,B,0.048,0.076,0.042
E,3,E3,1B,21,B,0.075,0.17,0.042
F,3,F3,1B,22,B,0.06,0.123,0.04
G,3,G3,1B,23,B,0.069,0.151,0.041
H,3,H3,1B,24,B,0.078,0.186,0.044
A,4,A4,1B,25,B,0.057,0.101,0.044
B,4,B4,1B,26,B,0.098,0.226,0.043
C,4,C4,1B,27,B,0.099,0.244,0.043
D,4,D4,1B,28,B,0.085,0.202,0.044
E,4,E4,1B,29,B,0.077,0.166,0.041
F,4,F4,1B,30,B,0.076,0.182,0.04
G,4,G4,1B,31,B,0.062,0.132,0.041
H,4,H4,1B,32,B,0.069,0.14,0.043
A,5,A5,1B,33,B,0.077,0.174,0.045
B,5,B5,1B,34,B,0.059,0.111,0.043
C,5,C5,1B,35,B,0.083,0.202,0.042
D,5,D5,1B,36,B,0.061,0.119,0.042
E,5,E5,1B,37,B,0.066,0.14,0.039
F,5,F5,1B,38,B,0.057,0.121,0.04
G,5,G5,1B,39,B,0.05,0.089,0.04
H,5,H5,1B,40,B,0.077,0.176,0.044
A,6,A6,1B,41,B,0.07,0.141,0.051
B,6,B6,1B,42,B,0.062,0.128,0.043
C,6,C6,1B,43,B,0.072,0.162,0.042
D,6,D6,1B,44,B,0.074,0.178,0.042
E,6,E6,1B,45,B,0.091,0.237,0.043
F,6,F6,1B,46,B,0.05,0.087,0.04
G,6,G6,1B,47,B,0.086,0.209,0.042
H,6,H6,1B,48,B,0.13,0.29,0.094
A,7,A7,1B,49,B,0.079,0.183,0.044
B,7,B7,1B,50,B,0.092,0.207,0.045
C,7,C7,1B,51,B,0.064,0.126,0.043
D,7,D7,1B,52,B,0.058,0.11,0.042
E,7,E7,1B,53,B,0.045,0.065,0.04
F,7,F7,1B,54,B,0.06,0.12,0.04
G,7,G7,1B,55,B,0.066,0.134,0.041
H,7,H7,1B,56,B,0.085,0.215,0.043
A,8,A8,1B,57,B,0.051,0.079,0.043
B,8,B8,1B,58,B,0.05,0.087,0.041
C,8,C8,1B,59,B,0.053,0.092,0.042
D,8,D8,1B,60,B,0.049,0.079,0.041
E,8,E8,1B,61,B,0.051,0.078,0.039
F,8,F8,1B,62,B,0.068,0.149,0.04
G,8,G8,1B,63,B,0.053,0.093,0.04
H,8,H8,1B,64,B,0.049,0.069,0.042
A,9,A9,1B,65,B,0.062,0.114,0.041
B,9,B9,1B,66,B,0.057,0.102,0.041
C,9,C9,1B,67,B,0.054,0.094,0.042
D,9,D9,1B,68,B,0.053,0.087,0.041
E,9,E9,1B,69,B,0.056,0.102,0.041
F,9,F9,1B,70,B,0.049,0.082,0.039
G,9,G9,1B,71,B,0.055,0.113,0.04
H,9,H9,1B,72,B,0.054,0.087,0.043
A,10,A10,1B,73,B,0.05,0.083,0.041
B,10,B10,1B,74,B,0.06,0.119,0.041
C,10,C10,1B,75,B,0.051,0.092,0.039
D,10,D10,1B,76,B,0.06,0.123,0.041
E,10,E10,1B,77,B,0.056,0.109,0.038
F,10,F10,1B,78,B,0.049,0.084,0.04
G,10,G10,1B,79,B,0.076,0.18,0.04
H,10,H10,1B,80,B,0.048,0.073,0.041
A,11,A11,1B,81,B,0.054,0.091,0.04
B,11,B11,1B,82,B,0.048,0.075,0.04
C,11,C11,1B,83,B,0.057,0.109,0.039
D,11,D11,1B,84,B,0.053,0.098,0.04
E,11,E11,1B,85,B,0.064,0.137,0.039
F,11,F11,1B,86,B,0.056,0.115,0.039
G,11,G11,1B,87,B,0.052,0.102,0.038
H,11,H11,1B,88,B,0.081,0.196,0.042
A,12,A12,1B,89,B,0.117,0.235,0.076
B,12,B12,1B,90,B,0.051,0.081,0.042
C,12,C12,1B,91,B,0.064,0.14,0.04
D,12,D12,1B,92,B,0.07,0.138,0.045
E,12,E12,1B,93,B,0.053,0.087,0.039
F,12,F12,1B,94,B,0.051,0.091,0.039
G,12,G12,1B,95,B,0.069,0.153,0.039
H,12,H12,1B,96,B,0.23,0.301,0.261
A,1,A1,1C,1,C,0.046,0.08,0.037
B,1,B1,1C,2,C,0.046,0.078,0.038
C,1,C1,1C,3,C,0.064,0.145,0.037
D,1,D1,1C,4,C,0.067,0.129,0.048
E,1,E1,1C,5,C,0.096,0.249,0.039
F,1,F1,1C,6,C,0.062,0.138,0.037
G,1,G1,1C,7,C,0.056,0.116,0.035
