TimeP,RandN,Rep,Count_ul,FC_df,InputVol_ul,RespVol_ul,SendInputVol_ul,SendTotalVol_ul
M1,M1_37,B,780.05,1,1000,300,20,200
M1,M1_37,C,736.1,1,1000,300,20,200
M1,M1_38,A,789.12,1,1000,300,20,200
M1,M1_38,B,706.14,1,1000,300,20,200
M1,M1_38,C,770.77,1,1000,300,20,200
M1,M1_39,A,727.04,1,1000,300,20,200
M1,M1_39,B,787.8,1,1000,300,20,200
M1,M1_39,C,806.56,1,1000,300,20,200
M1,M1_40,A,328.09,1,1000,300,20,200
M1,M1_40,B,356.84,1,1000,300,20,200
M1,M1_40,C,413.2,1,1000,300,20,200
M1,M1_41,A,441.85,1,1000,300,20,200
M1,M1_41,B,418.18,1,1000,300,20,200
M1,M1_41,C,469.6,1,1000,300,20,200
M1,M1_42,A,187.72,1,1000,300,20,200
M1,M1_42,B,222.36,1,1000,300,20,200
M1,M1_42,C,227.88,1,1000,300,20,200
M1,M1_43,A,183.8,1,1000,300,20,200
M1,M1_43,B,149.14,1,1000,300,20,200
M1,M1_43,C,288.52,1,1000,300,20,200
M1,M1_44,A,522.28,1,1000,300,20,200
M1,M1_44,B,506.31,1,1000,300,20,200
M1,M1_44,C,571.68,1,1000,300,20,200
M1,M1_45,A,162.84,1,1000,300,20,200
M1,M1_45,B,148.54,1,1000,300,20,200
M1,M1_45,C,151.02,1,1000,300,20,200
M1,M1_46,A,906.09,1,1000,300,20,200
M1,M1_46,B,1020.73,1,1000,300,20,200
M1,M1_46,C,976.16,1,1000,300,20,200
M1,M1_47,A,320.66,1,1000,300,20,200
M1,M1_47,B,283.14,1,1000,300,20,200
M1,M1_47,C,353.08,1,1000,300,20,200
M1,M1_48,A,543.58,1,1000,300,20,200
M1,M1_48,B,565.72,1,1000,300,20,200
M1,M1_48,C,553.98,1,1000,300,20,200
M1,M1_49,A,1174.24,1,1000,300,20,200
M1,M1_49,B,872.03,1,1000,300,20,200
M1,M1_49,C,1226.94,1,1000,300,20,200
M1,M1_50,A,263.52,1,1000,300,20,200
M1,M1_50,B,251.56,1,1000,300,20,200
M1,M1_50,C,295.19,1,1000,300,20,200
M1,M1_51,A,439.6,1,1000,300,20,200
M1,M1_51,B,456.8,1,1000,300,20,200
M1,M1_51,C,484.36,1,1000,300,20,200
M1,M1_52,A,680.51,1,1000,300,20,200
M1,M1_52,B,817.68,1,1000,300,20,200
M1,M1_52,C,691.32,1,1000,300,20,200
M1,M1_53,A,304.06,1,1000,300,20,200
M1,M1_53,B,261.13,1,1000,300,20,200
M1,M1_53,C,344.83,1,1000,300,20,200
M1,M1_54,A,746.4,1,1000,300,20,200
M1,M1_54,B,715.84,1,1000,300,20,200
M1,M1_54,C,873.02,1,1000,300,20,200
M1,M1_55,A,366.36,1,1000,300,20,200
M1,M1_55,B,347.24,1,1000,300,20,200
M1,M1_55,C,361.68,1,1000,300,20,200
M1,M1_56,A,867.29,1,1000,300,20,200
M1,M1_56,B,709.32,1,1000,300,20,200
M1,M1_56,C,886.33,1,1000,300,20,200
M1,M1_57,A,26.26,1,1000,300,20,200
M1,M1_57,B,24.6,1,1000,300,20,200
M1,M1_57,C,25.2,1,1000,300,20,200
M1,M1_58,A,697.48,1,1000,300,20,200
M1,M1_58,B,722.68,1,1000,300,20,200
M1,M1_58,C,534.91,1,1000,300,20,200
M1,M1_59,A,648.57,1,1000,300,20,200
M1,M1_59,B,671.83,1,1000,300,20,200
M1,M1_59,C,698.36,1,1000,300,20,200
M1,M1_60,A,611.25,1,1000,300,20,200
M1,M1_60,B,572.66,1,1000,300,20,200
M1,M1_60,C,678.98,1,1000,300,20,200
M1,M1_61,A,315.19,1,1000,300,20,200
M1,M1_61,B,329.75,1,1000,300,20,200
M1,M1_61,C,289.85,1,1000,300,20,200
M1,M1_62,A,931.27,1,1000,300,20,200
M1,M1_62,B,773.94,1,1000,300,20,200
M1,M1_62,C,865.49,1,1000,300,20,200
M1,M1_63,A,371.67,1,1000,300,20,200
M1,M1_63,B,363.15,1,1000,300,20,200
M1,M1_63,C,374.36,1,1000,300,20,200
M1,M1_64,A,796.47,1,1000,300,20,200
M1,M1_64,B,915.96,1,1000,300,20,200
M1,M1_64,C,849.2,1,1000,300,20,200
M1,M1_65,A,709.84,1,1000,300,20,200
M1,M1_65,B,673.4,1,1000,300,20,200
M1,M1_65,C,763.92,1,1000,300,20,200
M1,M1_66,A,529.76,1,1000,300,20,200
M1,M1_66,B,572.9,1,1000,300,20,200
M1,M1_66,C,659.04,1,1000,300,20,200
M1,M1_67,A,788.52,1,1000,300,20,200
M1,M1_67,B,877.81,1,1000,300,20,200
M1,M1_67,C,874.86,1,1000,300,20,200
M1,M1_68,A,157.33,1,1000,300,20,200
M1,M1_68,B,140.83,1,1000,300,20,200
M1,M1_68,C,167.56,1,1000,300,20,200
M1,M1_69,A,419.4,1,1000,300,20,200
M1,M1_69,B,419.68,1,1000,300,20,200
M1,M1_69,C,446.92,1,1000,300,20,200
M1,M1_70,A,401.11,1,1000,300,20,200
M1,M1_70,B,475.24,1,1000,300,20,200
M1,M1_70,C,465.86,1,1000,300,20,200
M1,M1_71,A,870.83,1,1000,300,20,200
M1,M1_71,B,826.34,1,1000,300,20,200
M1,M1_71,C,985.94,1,1000,300,20,200
M1,M1_72,A,1245.77,1,1000,300,20,200
M1,M1_72,B,1253.01,1,1000,300,20,200
M1,M1_72,C,1221.03,1,1000,300,20,200
M1,M1_73,A,1552.18,1,1000,300,20,200
M1,M1_73,B,1191.96,1,1000,300,20,200
M1,M1_73,C,1473.97,1,1000,300,20,200
M1,M1_74,A,1097.77,1,1000,300,20,200
M1,M1_74,B,1007.99,1,1000,300,20,200
M1,M1_74,C,880.12,1,1000,300,20,200
M1,M1_75,A,1228.03,1,1000,300,20,200
M1,M1_75,B,1061.01,1,1000,300,20,200
M1,M1_75,C,1268.84,1,1000,300,20,200
M1,M1_76,A,1238.92,1,1000,300,20,200
M1,M1_76,B,1251.88,1,1000,300,20,200
M1,M1_76,C,1096.28,1,1000,300,20,200
M1,M1_77,A,707.53,1,1000,300,20,200
M1,M1_77,B,618.87,1,1000,300,20,200
M1,M1_77,C,680.12,1,1000,300,20,200
M1,M1_78,A,1106.93,1,1000,300,20,200
M1,M1_78,B,1182.92,1,1000,300,20,200
M1,M1_78,C,1457.28,1,1000,300,20,200
M1,M1_79,A,348.13,1,1000,300,20,200
M1,M1_79,B,329.57,1,1000,300,20,200
M1,M1_79,C,479.16,1,1000,300,20,200
M1,M1_80,A,672.68,1,1000,300,20,200
M1,M1_80,B,761.8,1,1000,300,20,200
M1,M1_80,C,948.26,1,1000,300,20,200
M1,M1_81,A,764.22,1,1000,300,20,200
M1,M1_81,B,592.43,1,1000,300,20,200
M1,M1_81,C,704.84,1,1000,300,20,200
M1,M1_82,A,349.84,1,1000,300,20,200
M1,M1_82,B,518.44,1,1000,300,20,200
M1,M1_82,C,228.72,1,1000,300,20,200
M1,M1_83,A,203.05,1,1000,300,20,200
M1,M1_83,B,209.68,1,1000,300,20,200
M1,M1_83,C,156.17,1,1000,300,20,200
M1,M1_84,A,655.54,1,1000,300,20,200
M1,M1_84,B,742.05,1,1000,300,20,200
M1,M1_84,C,662.12,1,1000,300,20,200
M1,M1_85,A,696.2,1,1000,300,20,200
M1,M1_85,B,799.93,1,1000,300,20,200
M1,M1_85,C,762.56,1,1000,300,20,200
M1,M1_86,A,134.67,1,1000,300,20,200
M1,M1_86,B,133.92,1,1000,300,20,200
M1,M1_86,C,109.84,1,1000,300,20,200
M1,M1_87,A,53.62,1,1000,300,20,200
M1,M1_87,B,74.32,1,1000,300,20,200
M1,M1_87,C,55.07,1,1000,300,20,200
M1,M1_88,A,113.05,1,1000,300,20,200
M1,M1_88,B,113.71,1,1000,300,20,200
M1,M1_88,C,98.73,1,1000,300,20,200
M1,M1_89,A,307.4,1,1000,300,20,200
M1,M1_89,B,297.84,1,1000,300,20,200
M1,M1_89,C,306.72,1,1000,300,20,200
M1,M1_90,A,610.41,1,1000,300,20,200
M1,M1_90,B,532.4,1,1000,300,20,200
M1,M1_90,C,512.38,1,1000,300,20,200
M1,M1_91,A,388.92,1,1000,300,20,200
M1,M1_91,B,369.86,1,1000,300,20,200
M1,M1_91,C,344.75,1,1000,300,20,200
M1,M1_92,A,257.88,1,1000,300,20,200
M1,M1_92,B,280.85,1,1000,300,20,200
M1,M1_92,C,228.68,1,1000,300,20,200
M1,M1_93,A,362.92,1,1000,300,20,200
M1,M1_93,B,338.13,1,1000,300,20,200
M1,M1_93,C,292.86,1,1000,300,20,200
M1,M1_94,A,498.24,1,1000,300,20,200
M1,M1_94,B,460.4,1,1000,300,20,200
M1,M1_94,C,442.84,1,1000,300,20,200
M1,M1_95,A,51.21,1,1000,300,20,200
M1,M1_95,B,44.18,1,1000,300,20,200
M1,M1_95,C,43.12,1,1000,300,20,200
M1,M1_96,A,172.12,1,1000,300,20,200
M1,M1_96,B,153.56,1,1000,300,20,200
M1,M1_96,C,170.32,1,1000,300,20,200
M4,M4_2,A,110.76,1,1000,300,20,200
M4,M4_1,B,115.58,1,1000,300,20,200
M4,M4_1,C,130.04,1,1000,300,20,200
M4,M4_2,A,184.44,1,1000,300,20,200
M4,M4_1,B,117.85,1,1000,300,20,200
M4,M4_2,C,98.81,1,1000,300,20,200
M4,M4_3,A,215.42,1,1000,300,20,200
M4,M4_3,B,278.44,1,1000,300,20,200
M4,M4_3,C,266.47,1,1000,300,20,200
M4,M4_4,A,145.81,1,1000,300,20,200
