TimeP,RandN,Rep,Count_ul,FC_df,InputVol_ul,RespVol_ul,SendInputVol_ul,SendTotalVol_ul
M4,M4_88,A,209.63,1,1000,600,20,200
M4,M4_88,B,219.79,1,1000,600,20,200
M4,M4_88,C,179.47,1,1000,600,20,200
M4,M4_89,A,94.08,1,1000,600,20,200
M4,M4_89,B,128,1,1000,600,20,200
M4,M4_89,C,139.16,1,1000,600,20,200
M4,M4_90,A,79.05,1,1000,600,20,200
M4,M4_90,B,92.56,1,1000,600,20,200
M4,M4_90,C,62.38,1,1000,600,20,200
M4,M4_91,A,206.5,1,1000,600,20,200
M4,M4_91,B,96.36,1,1000,600,20,200
M4,M4_91,C,128.53,1,1000,600,20,200
M4,M4_92,A,49.36,1,1000,600,20,200
M4,M4_92,B,57.96,1,1000,600,20,200
M4,M4_92,C,54.76,1,1000,600,20,200
M4,M4_93,A,74.59,1,1000,600,20,200
M4,M4_93,B,48,1,1000,600,20,200
M4,M4_93,C,65.12,1,1000,600,20,200
M4,M4_94,A,222.56,1,1000,600,20,200
M4,M4_94,B,228.36,1,1000,600,20,200
M4,M4_94,C,330.04,1,1000,600,20,200
M4,M4_95,A,57.32,1,1000,600,20,200
M4,M4_95,B,55.04,1,1000,600,20,200
M4,M4_95,C,37.32,1,1000,600,20,200
M4,M4_96,A,81.26,1,1000,600,20,200
M4,M4_96,B,124.68,1,1000,600,20,200
M4,M4_96,C,59.72,1,1000,600,20,200
M8,M8_1,A,119.14,1,1000,600,20,200
M8,M8_1,B,114.52,1,1000,600,20,200
M8,M8_1,C,117.85,1,1000,600,20,200
M8,M8_2,A,75.03,1,1000,600,20,200
M8,M8_2,B,83.16,1,1000,600,20,200
M8,M8_2,C,86.59,1,1000,600,20,200
M8,M8_3,A,117.01,1,1000,600,20,200
M8,M8_3,B,114.28,1,1000,600,20,200
M8,M8_3,C,120.84,1,1000,600,20,200
M8,M8_4,A,373.6,1,1000,600,20,200
M8,M8_4,B,376.88,1,1000,600,20,200
M8,M8_4,C,395.65,1,1000,600,20,200
M8,M8_5,A,747.64,1,1000,600,20,200
M8,M8_5,B,800.88,1,1000,600,20,200
M8,M8_5,C,833.72,1,1000,600,20,200
M8,M8_6,A,394.52,1,1000,600,20,200
M8,M8_6,B,411.24,1,1000,600,20,200
M8,M8_6,C,429.77,1,1000,600,20,200
M8,M8_7,A,193.73,1,1000,600,20,200
M8,M8_7,B,203.68,1,1000,600,20,200
M8,M8_7,C,205.74,1,1000,600,20,200
M8,M8_8,A,686.78,1,1000,600,20,200
M8,M8_8,B,711.4,1,1000,600,20,200
M8,M8_8,C,705.04,1,1000,600,20,200
M8,M8_9,A,763.86,1,1000,600,20,200
M8,M8_9,B,751.07,1,1000,600,20,200
M8,M8_9,C,770.45,1,1000,600,20,200
M8,M8_10,A,249.21,1,1000,600,20,200
M8,M8_10,B,275.63,1,1000,600,20,200
M8,M8_10,C,269.64,1,1000,600,20,200
M8,M8_11,A,630.6,1,1000,600,20,200
M8,M8_11,B,642.48,1,1000,600,20,200
M8,M8_11,C,612.04,1,1000,600,20,200
M8,M8_12,A,570.63,1,1000,600,20,200
M8,M8_12,B,635.12,1,1000,600,20,200
M8,M8_12,C,577.84,1,1000,600,20,200
M8,M8_13,A,471.84,1,1000,600,20,200
M8,M8_13,B,443,1,1000,600,20,200
M8,M8_13,C,514.26,1,1000,600,20,200
M8,M8_14,A,667.5,1,1000,600,20,200
M8,M8_14,B,661.88,1,1000,600,20,200
M8,M8_14,C,674.16,1,1000,600,20,200
M8,M8_15,A,387.8,1,1000,600,20,200
M8,M8_15,B,377.32,1,1000,600,20,200
M8,M8_15,C,393,1,1000,600,20,200
M8,M8_16,A,443.2,1,1000,600,20,200
M8,M8_16,B,446.76,1,1000,600,20,200
M8,M8_16,C,458.39,1,1000,600,20,200
M8,M8_17,A,421.24,1,1000,600,20,200
M8,M8_17,B,417.9,1,1000,600,20,200
M8,M8_17,C,436.31,1,1000,600,20,200
M8,M8_18,A,854.43,1,1000,600,20,200
M8,M8_18,B,908.24,1,1000,600,20,200
M8,M8_18,C,953.21,1,1000,600,20,200
M8,M8_19,A,514.6,1,1000,600,20,200
M8,M8_19,B,545.03,1,1000,600,20,200
M8,M8_19,C,532.54,1,1000,600,20,200
M8,M8_20,A,1018.68,1,1000,600,20,200
M8,M8_20,B,1089.36,1,1000,600,20,200
M8,M8_20,C,1073.52,1,1000,600,20,200
M8,M8_21,A,874.58,1,1000,600,20,200
M8,M8_21,B,713.71,1,1000,600,20,200
M8,M8_21,C,672.44,1,1000,600,20,200
M8,M8_22,A,552.8,1,1000,600,20,200
M8,M8_22,B,553.4,1,1000,600,20,200
M8,M8_22,C,511.41,1,1000,600,20,200
M8,M8_23,A,581.02,1,1000,600,20,200
M8,M8_23,B,607.34,1,1000,600,20,200
M8,M8_23,C,601.54,1,1000,600,20,200
M8,M8_24,A,533.98,1,1000,600,20,200
M8,M8_24,B,549.57,1,1000,600,20,200
M8,M8_24,C,531.37,1,1000,600,20,200
M8,M8_25,A,863.34,1,1000,600,20,200
M8,M8_25,B,473.53,1,1000,600,20,200
M8,M8_25,C,839.37,1,1000,600,20,200
M8,M8_26,A,372.15,1,1000,600,20,200
M8,M8_26,B,383.6,1,1000,600,20,200
M8,M8_26,C,371.25,1,1000,600,20,200
M8,M8_27,A,1051.66,1,1000,600,20,200
M8,M8_27,B,987.83,1,1000,600,20,200
M8,M8_27,C,916.25,1,1000,600,20,200
M8,M8_28,A,803.02,1,1000,600,20,200
M8,M8_28,B,847.87,1,1000,600,20,200
M8,M8_28,C,881.84,1,1000,600,20,200
M8,M8_29,A,718.91,1,1000,600,20,200
M8,M8_29,B,723.56,1,1000,600,20,200
M8,M8_29,C,694.16,1,1000,600,20,200
M8,M8_30,A,466.61,1,1000,600,20,200
M8,M8_30,B,505.3,1,1000,600,20,200
M8,M8_30,C,450.54,1,1000,600,20,200
M8,M8_31,A,435.48,1,1000,600,20,200
M8,M8_31,B,370.52,1,1000,600,20,200
M8,M8_31,C,381.51,1,1000,600,20,200
M8,M8_32,A,481.97,1,1000,600,20,200
M8,M8_32,B,465.36,1,1000,600,20,200
M8,M8_32,C,468.59,1,1000,600,20,200
M8,M8_33,A,847.16,1,1000,600,20,200
M8,M8_33,B,842.52,1,1000,600,20,200
M8,M8_33,C,868.77,1,1000,600,20,200
M8,M8_34,A,223.06,1,1000,600,20,200
M8,M8_34,B,227.8,1,1000,600,20,200
M8,M8_34,C,236.3,1,1000,600,20,200
M8,M8_35,A,687.56,1,1000,600,20,200
M8,M8_35,B,655.32,1,1000,600,20,200
M8,M8_35,C,613.52,1,1000,600,20,200
M8,M8_36,A,714.83,1,1000,600,20,200
M8,M8_36,B,750.36,1,1000,600,20,200
M8,M8_36,C,784.1,1,1000,600,20,200
M8,M8_37,A,629.16,1,1000,600,20,200
M8,M8_37,B,635.53,1,1000,600,20,200
M8,M8_37,C,649.38,1,1000,600,20,200
M8,M8_38,A,204.73,1,1000,600,20,200
M8,M8_38,B,206.92,1,1000,600,20,200
M8,M8_38,C,208.55,1,1000,600,20,200
M8,M8_39,A,188.34,1,1000,600,20,200
M8,M8_39,B,188.76,1,1000,600,20,200
M8,M8_39,C,202.93,1,1000,600,20,200
M8,M8_40,A,470.48,1,1000,600,20,200
M8,M8_40,B,477.47,1,1000,600,20,200
M8,M8_40,C,474.82,1,1000,600,20,200
M8,M8_41,A,787.88,1,1000,600,20,200
M8,M8_41,B,846.24,1,1000,600,20,200
M8,M8_41,C,747.84,1,1000,600,20,200
M8,M8_42,A,925.33,1,1000,600,20,200
M8,M8_42,B,905.89,1,1000,600,20,200
M8,M8_42,C,1130.46,1,1000,600,20,200
M8,M8_43,A,493.01,1,1000,600,20,200
M8,M8_43,B,525.96,1,1000,600,20,200
M8,M8_43,C,544.36,1,1000,600,20,200
M8,M8_44,A,572.04,1,1000,600,20,200
M8,M8_44,B,590.12,1,1000,600,20,200
M8,M8_44,C,514.86,1,1000,600,20,200
M8,M8_45,A,704.9,1,1000,600,20,200
M8,M8_45,B,703.12,1,1000,600,20,200
M8,M8_45,C,756.44,1,1000,600,20,200
M8,M8_46,A,1020.93,1,1000,600,20,200
M8,M8_46,B,1066.92,1,1000,600,20,200
M8,M8_46,C,1002.53,1,1000,600,20,200
M8,M8_47,A,421.4,1,1000,600,20,200
M8,M8_47,B,427.58,1,1000,600,20,200
M8,M8_47,C,434.89,1,1000,600,20,200
M8,M8_48,A,636.28,1,1000,600,20,200
M8,M8_48,B,635.65,1,1000,600,20,200
M8,M8_48,C,760.2,1,1000,600,20,200
M8,M8_49,A,251.49,1,1000,600,20,200
M8,M8_49,B,266.28,1,1000,600,20,200
M8,M8_49,C,289.69,1,1000,600,20,200
M8,M8_50,A,643.4,1,1000,600,20,200
M8,M8_50,B,530.24,1,1000,600,20,200
M8,M8_50,C,617.81,1,1000,600,20,200
M8,M8_51,A,792.64,1,1000,600,20,200
M8,M8_51,B,835.92,1,1000,600,20,200
M8,M8_51,C,869.58,1,1000,600,20,200
M8,M8_52,A,555.36,1,1000,600,20,200
M8,M8_52,B,562.98,1,1000,600,20,200
M8,M8_52,C,445.94,1,1000,600,20,200
M8,M8_53,A,628.72,1,1000,600,20,200
M8,M8_53,B,649.86,1,1000,600,20,200
M8,M8_53,C,610.89,1,1000,600,20,200
M8,M8_54,A,337.48,1,1000,600,20,200
M8,M8_54,B,411.03,1,1000,600,20,200
M8,M8_54,C,383.21,1,1000,600,20,200
M8,M8_55,A,253.29,1,1000,600,20,200
M8,M8_55,B,286.47,1,1000,600,20,200
M8,M8_55,C,269.9,1,1000,600,20,200
M8,M8_56,A,147.68,1,1000,600,20,200
M8,M8_56,B,195.37,1,1000,600,20,200
M8,M8_56,C,176.45,1,1000,600,20,200
M8,M8_57,A,290.77,1,1000,600,20,200
M8,M8_57,B,329.09,1,1000,600,20,200
M8,M8_57,C,313.02,1,1000,600,20,200
M8,M8_58,A,421.55,1,1000,600,20,200
M8,M8_58,B,273.52,1,1000,600,20,200
M8,M8_58,C,296.07,1,1000,600,20,200
M8,M8_59,A,145.76,1,1000,600,20,200
M8,M8_59,B,181.88,1,1000,600,20,200
M8,M8_59,C,184.08,1,1000,600,20,200
M8,M8_60,A,227.01,1,1000,600,20,200
M8,M8_60,B,223.42,1,1000,600,20,200
M8,M8_60,C,224.94,1,1000,600,20,200
M8,M8_61,A,454.13,1,1000,600,20,200
M8,M8_61,B,487.39,1,1000,600,20,200
M8,M8_61,C,447.34,1,1000,600,20,200
M8,M8_62,A,348.41,1,1000,600,20,200
M8,M8_62,B,324.16,1,1000,600,20,200
M8,M8_62,C,371.52,1,1000,600,20,200
M8,M8_63,A,483.92,1,1000,600,20,200
M8,M8_63,B,557.4,1,1000,600,20,200
M8,M8_63,C,523.7,1,1000,600,20,200
M8,M8_64,A,179.44,1,1000,600,20,200
M8,M8_64,B,184.01,1,1000,600,20,200
M8,M8_64,C,189.19,1,1000,600,20,200
M8,M8_65,A,56.77,1,1000,600,20,200
M8,M8_65,B,62.62,1,1000,600,20,200
M8,M8_65,C,48.76,1,1000,600,20,200
M8,M8_66,A,497.51,1,1000,600,20,200
M8,M8_66,B,446.72,1,1000,600,20,200
M8,M8_66,C,502.97,1,1000,600,20,200
M8,M8_67,A,190.16,1,1000,600,20,200
M8,M8_67,B,169.08,1,1000,600,20,200
M8,M8_67,C,200.32,1,1000,600,20,200
M8,M8_68,A,190.83,1,1000,600,20,200
M8,M8_68,B,198.6,1,1000,600,20,200
M8,M8_68,C,292.9,1,1000,600,20,200
M8,M8_69,A,600,1,1000,600,20,200
M8,M8_69,B,1003.68,1,1000,600,20,200
M8,M8_69,C,650.32,1,1000,600,20,200
M8,M8_70,A,283.16,1,1000,600,20,200
M8,M8_70,B,245.74,1,1000,600,20,200
M8,M8_70,C,279.48,1,1000,600,20,200
M8,M8_71,A,468.87,1,1000,600,20,200
M8,M8_71,B,753.66,1,1000,600,20,200
M8,M8_71,C,478.75,1,1000,600,20,200
M8,M8_72,A,147.24,1,1000,600,20,200
M8,M8_72,B,160.52,1,1000,600,20,200
M8,M8_72,C,152.56,1,1000,600,20,200
M8,M8_73,A,199.72,1,1000,600,20,200
M8,M8_73,B,187.54,1,1000,600,20,200
M8,M8_73,C,208.76,1,1000,600,20,200
M8,M8_74,A,174.08,1,1000,600,20,200
M8,M8_74,B,193.4,1,1000,600,20,200
M8,M8_74,C,212.92,1,1000,600,20,200
M8,M8_75,A,462.46,1,1000,600,20,200
M8,M8_75,B,557.96,1,1000,600,20,200
M8,M8_75,C,534.99,1,1000,600,20,200
M8,M8_76,A,333.39,1,1000,600,20,200
M8,M8_76,B,369.28,1,1000,600,20,200
M8,M8_76,C,293.58,1,1000,600,20,200
M8,M8_77,A,451.42,1,1000,600,20,200
M8,M8_77,B,435.6,1,1000,600,20,200
M8,M8_77,C,501.76,1,1000,600,20,200
M8,M8_78,A,776.82,1,1000,600,20,200
M8,M8_78,B,737.83,1,1000,600,20,200
M8,M8_78,C,735.4,1,1000,600,20,200
M8,M8_79,A,468.4,1,1000,600,20,200
M8,M8_79,B,503.01,1,1000,600,20,200
M8,M8_79,C,455.33,1,1000,600,20,200
M8,M8_80,A,743.37,1,1000,600,20,200
M8,M8_80,B,789.12,1,1000,600,20,200
M8,M8_80,C,790.14,1,1000,600,20,200
M8,M8_81,A,218.84,1,1000,600,20,200
M8,M8_81,B,173.78,1,1000,600,20,200
M8,M8_81,C,233.5,1,1000,600,20,200
M8,M8_82,A,593.8,1,1000,600,20,200
M8,M8_82,B,601.8,1,1000,600,20,200
M8,M8_82,C,650.6,1,1000,600,20,200
M8,M8_83,A,600.16,1,1000,600,20,200
M8,M8_83,B,649.28,1,1000,600,20,200
M8,M8_83,C,1213.47,1,1000,600,20,200
M8,M8_84,A,263.17,1,1000,600,20,200
M8,M8_84,B,284.78,1,1000,600,20,200
M8,M8_84,C,264.52,1,1000,600,20,200
M8,M8_85,A,678.84,1,1000,600,20,200
M8,M8_85,B,696.98,1,1000,600,20,200
M8,M8_85,C,648,1,1000,600,20,200
M8,M8_86,A,327.23,1,1000,600,20,200
M8,M8_86,B,383.52,1,1000,600,20,200
M8,M8_86,C,377.25,1,1000,600,20,200
M8,M8_87,A,333.44,1,1000,600,20,200
M8,M8_87,B,346.52,1,1000,600,20,200
M8,M8_87,C,353.24,1,1000,600,20,200
M8,M8_88,A,322.88,1,1000,600,20,200
M8,M8_88,B,323.57,1,1000,600,20,200
M8,M8_88,C,364.64,1,1000,600,20,200
M8,M8_89,A,553.68,1,1000,600,20,200
M8,M8_89,B,522.96,1,1000,600,20,200
M8,M8_89,C,649.56,1,1000,600,20,200
M8,M8_90,A,555.52,1,1000,600,20,200
M8,M8_90,B,641.47,1,1000,600,20,200
M8,M8_90,C,660.43,1,1000,600,20,200
M8,M8_91,A,371.12,1,1000,600,20,200
M8,M8_91,B,399,1,1000,600,20,200
M8,M8_91,C,437.23,1,1000,600,20,200
M8,M8_92,A,139.52,1,1000,600,20,200
M8,M8_92,B,133.95,1,1000,600,20,200
M8,M8_92,C,152.12,1,1000,600,20,200
M8,M8_93,A,403.64,1,1000,600,20,200
M8,M8_93,B,403.08,1,1000,600,20,200
M8,M8_93,C,412.23,1,1000,600,20,200
M8,M8_94,A,330.84,1,1000,600,20,200
M8,M8_94,B,338.73,1,1000,600,20,200
M8,M8_94,C,358.21,1,1000,600,20,200
M8,M8_95,A,583.64,1,1000,600,20,200
M8,M8_95,B,535.47,1,1000,600,20,200
M8,M8_95,C,587.44,1,1000,600,20,200
M8,M8_96,A,415.53,1,1000,600,20,200
M8,M8_96,B,435.78,1,1000,600,20,200
M8,M8_96,C,428.18,1,1000,600,20,200
M12,M12_1,A,552.38,1,1000,600,20,200
M12,M12_1,B,539.68,1,1000,600,20,200
M12,M12_1,C,580.29,1,1000,600,20,200
M12,M12_2,A,384.52,1,1000,600,20,200
M12,M12_2,B,445.56,1,1000,600,20,200
M12,M12_2,C,421.32,1,1000,600,20,200
M12,M12_3,A,61.8,1,1000,600,20,200
M12,M12_3,B,57.32,1,1000,600,20,200
M12,M12_3,C,73.8,1,1000,600,20,200
M12,M12_4,A,570.65,1,1000,600,20,200
M12,M12_4,B,479,1,1000,600,20,200
M12,M12_4,C,414.3,1,1000,600,20,200
M12,M12_5,A,217.8,1,1000,600,20,200
M12,M12_5,B,257.39,1,1000,600,20,200
M12,M12_5,C,238.34,1,1000,600,20,200
M12,M12_6,A,117.24,1,1000,600,20,200
M12,M12_6,B,120.46,1,1000,600,20,200
M12,M12_6,C,121.04,1,1000,600,20,200
M12,M12_7,A,122.99,1,1000,600,20,200
M12,M12_7,B,144.88,1,1000,600,20,200
M12,M12_7,C,144.56,1,1000,600,20,200
M12,M12_8,A,688.96,1,1000,600,20,200
M12,M12_8,B,555.48,1,1000,600,20,200
M12,M12_8,C,592.96,1,1000,600,20,200
M12,M12_9,A,151.39,1,1000,600,20,200
M12,M12_9,B,174.65,1,1000,600,20,200
M12,M12_9,C,196.4,1,1000,600,20,200
M12,M12_10,A,534.46,1,1000,600,20,200
M12,M12_10,B,611.34,1,1000,600,20,200
M12,M12_10,C,612.68,1,1000,600,20,200
M12,M12_11,A,156.77,1,1000,600,20,200
M12,M12_11,B,182.24,1,1000,600,20,200
M12,M12_11,C,166.53,1,1000,600,20,200
M12,M12_12,A,199.32,1,1000,600,20,200
M12,M12_12,B,208.04,1,1000,600,20,200
M12,M12_12,C,233,1,1000,600,20,200
M12,M12_13,A,371.38,1,1000,600,20,200
M12,M12_13,B,381.69,1,1000,600,20,200
M12,M12_13,C,380.32,1,1000,600,20,200
M12,M12_14,A,157.24,1,1000,600,20,200
M12,M12_14,B,159.78,1,1000,600,20,200
M12,M12_14,C,158.5,1,1000,600,20,200
M12,M12_15,A,461.16,1,1000,600,20,200
M12,M12_15,B,575.15,1,1000,600,20,200
M12,M12_15,C,554.08,1,1000,600,20,200
M12,M12_16,A,608.8,1,1000,600,20,200
M12,M12_16,B,628.87,1,1000,600,20,200
M12,M12_16,C,710.92,1,1000,600,20,200
M12,M12_17,A,757.4,1,1000,600,20,200
M12,M12_17,B,853.96,1,1000,600,20,200
M12,M12_17,C,764.26,1,1000,600,20,200
M12,M12_18,A,825.35,1,1000,600,20,200
M12,M12_18,B,700.2,1,1000,600,20,200
M12,M12_18,C,809.96,1,1000,600,20,200
M12,M12_19,A,78.33,1,1000,600,20,200
M12,M12_19,B,92.04,1,1000,600,20,200
M12,M12_19,C,95.72,1,1000,600,20,200
M12,M12_20,A,697.8,1,1000,600,20,200
M12,M12_20,B,673.56,1,1000,600,20,200
M12,M12_20,C,761.44,1,1000,600,20,200
M12,M12_21,A,492.44,1,1000,600,20,200
M12,M12_21,B,517.91,1,1000,600,20,200
M12,M12_21,C,483.96,1,1000,600,20,200
M12,M12_22,A,478.11,1,1000,600,20,200
M12,M12_22,B,532.17,1,1000,600,20,200
M12,M12_22,C,622.81,1,1000,600,20,200
M12,M12_23,A,515.46,1,1000,600,20,200
M12,M12_23,B,537.96,1,1000,600,20,200
M12,M12_23,C,501.97,1,1000,600,20,200
M12,M12_24,A,639.44,1,1000,600,20,200
M12,M12_24,B,591.28,1,1000,600,20,200
M12,M12_24,C,505.84,1,1000,600,20,200
M12,M12_25,A,233.24,1,1000,600,20,200
M12,M12_25,B,243.45,1,1000,600,20,200
M12,M12_25,C,244.4,1,1000,600,20,200
M12,M12_26,A,177.16,1,1000,600,20,200
M12,M12_26,B,178.36,1,1000,600,20,200
M12,M12_26,C,150,1,1000,600,20,200
M12,M12_27,A,441.06,1,1000,600,20,200
M12,M12_27,B,447.38,1,1000,600,20,200
M12,M12_27,C,444.69,1,1000,600,20,200
M12,M12_28,A,428.9,1,1000,600,20,200
M12,M12_28,B,418.41,1,1000,600,20,200
M12,M12_28,C,422,1,1000,600,20,200
M12,M12_29,A,413.86,1,1000,600,20,200
M12,M12_29,B,416.89,1,1000,600,20,200
M12,M12_29,C,382.67,1,1000,600,20,200
M12,M12_30,A,332.02,1,1000,600,20,200
M12,M12_30,B,392.04,1,1000,600,20,200
M12,M12_30,C,408.8,1,1000,600,20,200
M12,M12_31,A,94.4,1,1000,600,20,200
M12,M12_31,B,110.52,1,1000,600,20,200
M12,M12_31,C,102.8,1,1000,600,20,200
M12,M12_32,A,684.72,1,1000,600,20,200
M12,M12_32,B,765.4,1,1000,600,20,200
M12,M12_32,C,712.72,1,1000,600,20,200
M12,M12_33,A,386.33,1,1000,600,20,200
M12,M12_33,B,414.16,1,1000,600,20,200
M12,M12_33,C,359.36,1,1000,600,20,200
M12,M12_34,A,275.32,1,1000,600,20,200
M12,M12_34,B,324.27,1,1000,600,20,200
M12,M12_34,C,285.03,1,1000,600,20,200
M12,M12_35,A,297.32,1,1000,600,20,200
M12,M12_35,B,282.6,1,1000,600,20,200
M12,M12_35,C,277.08,1,1000,600,20,200
M12,M12_36,A,392.75,1,1000,600,20,200
M12,M12_36,B,355,1,1000,600,20,200
M12,M12_36,C,323.16,1,1000,600,20,200
M12,M12_37,A,374,1,1000,600,20,200
M12,M12_37,B,407.48,1,1000,600,20,200
M12,M12_37,C,321.52,1,1000,600,20,200
M12,M12_38,A,469.72,1,1000,600,20,200
M12,M12_38,B,485.6,1,1000,600,20,200
M12,M12_38,C,500.9,1,1000,600,20,200
M12,M12_39,A,741.48,1,1000,600,20,200
M12,M12_39,B,776.47,1,1000,600,20,200
M12,M12_39,C,793.56,1,1000,600,20,200
M12,M12_40,A,569.65,1,1000,600,20,200
M12,M12_40,B,575.92,1,1000,600,20,200
M12,M12_40,C,555.87,1,1000,600,20,200
M12,M12_41,A,561.98,1,1000,600,20,200
M12,M12_41,B,637.05,1,1000,600,20,200
M12,M12_41,C,611.64,1,1000,600,20,200
M12,M12_42,A,194.95,1,1000,600,20,200
M12,M12_42,B,192.6,1,1000,600,20,200
M12,M12_42,C,214.13,1,1000,600,20,200
M12,M12_43,A,126.96,1,1000,600,20,200
M12,M12_43,B,124.28,1,1000,600,20,200
M12,M12_43,C,141.32,1,1000,600,20,200
M12,M12_44,A,246.08,1,1000,600,20,200
M12,M12_44,B,243.73,1,1000,600,20,200
M12,M12_44,C,260.3,1,1000,600,20,200
M12,M12_45,A,285.37,1,1000,600,20,200
M12,M12_45,B,286.8,1,1000,600,20,200
M12,M12_45,C,287.76,1,1000,600,20,200
M12,M12_46,A,293.52,1,1000,600,20,200
M12,M12_46,B,361.91,1,1000,600,20,200
M12,M12_46,C,352.67,1,1000,600,20,200
M12,M12_47,A,591.48,1,1000,600,20,200
M12,M12_47,B,654,1,1000,600,20,200
M12,M12_47,C,658.08,1,1000,600,20,200
M12,M12_48,A,713.19,1,1000,600,20,200
M12,M12_48,B,663.72,1,1000,600,20,200
M12,M12_48,C,612.21,1,1000,600,20,200
M12,M12_49,A,493.16,1,1000,600,20,200
M12,M12_49,B,471.28,1,1000,600,20,200
M12,M12_49,C,487.16,1,1000,600,20,200
M12,M12_50,A,661.12,1,1000,600,20,200
M12,M12_50,B,655.88,1,1000,600,20,200
M12,M12_50,C,687.48,1,1000,600,20,200
M12,M12_51,A,630.38,1,1000,600,20,200
M12,M12_51,B,456.06,1,1000,600,20,200
M12,M12_51,C,420.59,1,1000,600,20,200
M12,M12_52,A,499.92,1,1000,600,20,200
M12,M12_52,B,452.2,1,1000,600,20,200
M12,M12_52,C,437.98,1,1000,600,20,200
M12,M12_53,A,143.4,1,1000,600,20,200
M12,M12_53,B,144.04,1,1000,600,20,200
M12,M12_53,C,142.35,1,1000,600,20,200
M12,M12_54,A,528.13,1,1000,600,20,200
M12,M12_54,B,522.36,1,1000,600,20,200
M12,M12_54,C,521.16,1,1000,600,20,200
M12,M12_55,A,508.39,1,1000,600,20,200
M12,M12_55,B,508.11,1,1000,600,20,200
M12,M12_55,C,480.23,1,1000,600,20,200
M12,M12_56,A,207.23,1,1000,600,20,200
M12,M12_56,B,201.4,1,1000,600,20,200
M12,M12_56,C,230.51,1,1000,600,20,200
M12,M12_57,A,409.38,1,1000,600,20,200
M12,M12_57,B,377.19,1,1000,600,20,200
M12,M12_57,C,409.78,1,1000,600,20,200
M12,M12_58,A,496.32,1,1000,600,20,200
M12,M12_58,B,490.93,1,1000,600,20,200
M12,M12_58,C,482.72,1,1000,600,20,200
M12,M12_59,A,114.52,1,1000,600,20,200
M12,M12_59,B,116.24,1,1000,600,20,200
M12,M12_59,C,114.92,1,1000,600,20,200
M12,M12_60,A,156.25,1,1000,600,20,200
M12,M12_60,B,176.44,1,1000,600,20,200
M12,M12_60,C,201.28,1,1000,600,20,200
M12,M12_61,A,60.97,1,1000,600,20,200
M12,M12_61,B,70.61,1,1000,600,20,200
M12,M12_61,C,63.96,1,1000,600,20,200
M12,M12_62,A,374.16,1,1000,600,20,200
M12,M12_62,B,398.34,1,1000,600,20,200
M12,M12_62,C,399.86,1,1000,600,20,200
M12,M12_63,A,559.7,1,1000,600,20,200
M12,M12_63,B,570.08,1,1000,600,20,200
M12,M12_63,C,543.86,1,1000,600,20,200
M12,M12_64,A,304.72,1,1000,600,20,200
M12,M12_64,B,294.38,1,1000,600,20,200
M12,M12_64,C,298.29,1,1000,600,20,200
M12,M12_65,A,525.59,1,1000,600,20,200
M12,M12_65,B,637.68,1,1000,600,20,200
M12,M12_65,C,588.84,1,1000,600,20,200
M12,M12_66,A,242.4,1,1000,600,20,200
M12,M12_66,B,305.87,1,1000,600,20,200
M12,M12_66,C,287.08,1,1000,600,20,200
M12,M12_67,A,263.92,1,1000,600,20,200
M12,M12_67,B,222.97,1,1000,600,20,200
M12,M12_67,C,246.16,1,1000,600,20,200
M12,M12_68,A,621.52,1,1000,600,20,200
M12,M12_68,B,598.61,1,1000,600,20,200
M12,M12_68,C,639.76,1,1000,600,20,200
M12,M12_69,A,454.25,1,1000,600,20,200
M12,M12_69,B,678.3,1,1000,600,20,200
M12,M12_69,C,693.12,1,1000,600,20,200
M12,M12_70,A,267.44,1,1000,600,20,200
M12,M12_70,B,230.76,1,1000,600,20,200
M12,M12_70,C,234.12,1,1000,600,20,200
M12,M12_71,A,90.28,1,1000,600,20,200
M12,M12_71,B,56.72,1,1000,600,20,200
M12,M12_71,C,84.47,1,1000,600,20,200
M12,M12_72,A,544.07,1,1000,600,20,200
M12,M12_72,B,529.16,1,1000,600,20,200
M12,M12_72,C,535.68,1,1000,600,20,200
M12,M12_73,A,230.63,1,1000,600,20,200
M12,M12_73,B,265.12,1,1000,600,20,200
M12,M12_73,C,299.65,1,1000,600,20,200
M12,M12_74,A,467.85,1,1000,600,20,200
M12,M12_74,B,397.44,1,1000,600,20,200
M12,M12_74,C,513.77,1,1000,600,20,200
M12,M12_75,A,738.59,1,1000,600,20,200
M12,M12_75,B,871.72,1,1000,600,20,200
M12,M12_75,C,855.56,1,1000,600,20,200
M12,M12_76,A,1059.93,1,1000,600,20,200
M12,M12_76,B,1197.38,1,1000,600,20,200
M12,M12_76,C,981.96,1,1000,600,20,200
M12,M12_77,A,286.28,1,1000,600,20,200
M12,M12_77,B,303.64,1,1000,600,20,200
M12,M12_77,C,291.21,1,1000,600,20,200
M12,M12_78,A,348.52,1,1000,600,20,200
M12,M12_78,B,664.97,1,1000,600,20,200
M12,M12_78,C,533.07,1,1000,600,20,200
M12,M12_79,A,541.6,1,1000,600,20,200
M12,M12_79,B,519.88,1,1000,600,20,200
M12,M12_79,C,549.49,1,1000,600,20,200
M12,M12_80,A,449.88,1,1000,600,20,200
M12,M12_80,B,411.39,1,1000,600,20,200
M12,M12_80,C,464.02,1,1000,600,20,200
M12,M12_81,A,626.72,1,1000,600,20,200
M12,M12_81,B,614.76,1,1000,600,20,200
M12,M12_81,C,567.36,1,1000,600,20,200
