TimeP,Date.Time,Date,Time,Tank,PAR
IN,8/17/2021 18:20,8/17/2021,18:20:00,H1,0
IN,8/17/2021 18:20,8/17/2021,18:20:00,C2,0
IN,8/17/2021 18:30,8/17/2021,18:30:00,H1,0
IN,8/17/2021 18:30,8/17/2021,18:30:00,C2,0
IN,8/17/2021 18:40,8/17/2021,18:40:00,H1,0
IN,8/17/2021 18:40,8/17/2021,18:40:00,C2,0
IN,8/17/2021 18:50,8/17/2021,18:50:00,H1,0
IN,8/17/2021 18:50,8/17/2021,18:50:00,C2,0
IN,8/17/2021 19:00,8/17/2021,19:00:00,H1,0
IN,8/17/2021 19:00,8/17/2021,19:00:00,C2,0
IN,8/17/2021 19:10,8/17/2021,19:10:00,H1,0
IN,8/17/2021 19:10,8/17/2021,19:10:00,C2,0
IN,8/17/2021 19:20,8/17/2021,19:20:00,H1,0
IN,8/17/2021 19:20,8/17/2021,19:20:00,C2,0
IN,8/17/2021 19:30,8/17/2021,19:30:00,H1,0
IN,8/17/2021 19:30,8/17/2021,19:30:00,C2,0
IN,8/17/2021 19:40,8/17/2021,19:40:00,H1,0
IN,8/17/2021 19:40,8/17/2021,19:40:00,C2,0
IN,8/17/2021 19:50,8/17/2021,19:50:00,H1,0
IN,8/17/2021 19:50,8/17/2021,19:50:00,C2,0
IN,8/17/2021 20:00,8/17/2021,20:00:00,H1,0
IN,8/17/2021 20:00,8/17/2021,20:00:00,C2,0
IN,8/17/2021 20:10,8/17/2021,20:10:00,H1,0
IN,8/17/2021 20:10,8/17/2021,20:10:00,C2,0
IN,8/17/2021 20:20,8/17/2021,20:20:00,H1,0
IN,8/17/2021 20:20,8/17/2021,20:20:00,C2,0
IN,8/17/2021 20:30,8/17/2021,20:30:00,H1,0
IN,8/17/2021 20:30,8/17/2021,20:30:00,C2,0
IN,8/17/2021 20:40,8/17/2021,20:40:00,H1,0
IN,8/17/2021 20:40,8/17/2021,20:40:00,C2,0
IN,8/17/2021 20:50,8/17/2021,20:50:00,H1,0
IN,8/17/2021 20:50,8/17/2021,20:50:00,C2,0
IN,8/17/2021 21:00,8/17/2021,21:00:00,H1,0
IN,8/17/2021 21:00,8/17/2021,21:00:00,C2,0
IN,8/17/2021 21:10,8/17/2021,21:10:00,H1,0
IN,8/17/2021 21:10,8/17/2021,21:10:00,C2,0
IN,8/17/2021 21:20,8/17/2021,21:20:00,H1,0
IN,8/17/2021 21:20,8/17/2021,21:20:00,C2,0
IN,8/17/2021 21:30,8/17/2021,21:30:00,H1,0
IN,8/17/2021 21:30,8/17/2021,21:30:00,C2,0
IN,8/17/2021 21:40,8/17/2021,21:40:00,H1,0
IN,8/17/2021 21:40,8/17/2021,21:40:00,C2,0
IN,8/17/2021 21:50,8/17/2021,21:50:00,H1,0
IN,8/17/2021 21:50,8/17/2021,21:50:00,C2,0
IN,8/17/2021 22:00,8/17/2021,22:00:00,H1,0
IN,8/17/2021 22:00,8/17/2021,22:00:00,C2,0
IN,8/17/2021 22:10,8/17/2021,22:10:00,H1,0
IN,8/17/2021 22:10,8/17/2021,22:10:00,C2,0
IN,8/17/2021 22:20,8/17/2021,22:20:00,H1,0
IN,8/17/2021 22:20,8/17/2021,22:20:00,C2,0
IN,8/17/2021 22:30,8/17/2021,22:30:00,H1,0
IN,8/17/2021 22:30,8/17/2021,22:30:00,C2,0
IN,8/17/2021 22:40,8/17/2021,22:40:00,H1,0
IN,8/17/2021 22:40,8/17/2021,22:40:00,C2,0
IN,8/17/2021 22:50,8/17/2021,22:50:00,H1,0
IN,8/17/2021 22:50,8/17/2021,22:50:00,C2,0
IN,8/17/2021 23:00,8/17/2021,23:00:00,H1,0
IN,8/17/2021 23:00,8/17/2021,23:00:00,C2,0
IN,8/17/2021 23:10,8/17/2021,23:10:00,H1,0
IN,8/17/2021 23:10,8/17/2021,23:10:00,C2,0
IN,8/17/2021 23:20,8/17/2021,23:20:00,H1,0
IN,8/17/2021 23:20,8/17/2021,23:20:00,C2,0
IN,8/17/2021 23:30,8/17/2021,23:30:00,H1,0
IN,8/17/2021 23:30,8/17/2021,23:30:00,C2,0
IN,8/17/2021 23:40,8/17/2021,23:40:00,H1,0
IN,8/17/2021 23:40,8/17/2021,23:40:00,C2,0
IN,8/17/2021 23:50,8/17/2021,23:50:00,H1,0
IN,8/17/2021 23:50,8/17/2021,23:50:00,C2,0
IN,8/18/2021 0:00,8/18/2021,0:00:00,H1,0
IN,8/18/2021 0:00,8/18/2021,0:00:00,C2,0
IN,8/18/2021 0:10,8/18/2021,0:10:00,H1,0
IN,8/18/2021 0:10,8/18/2021,0:10:00,C2,0
IN,8/18/2021 0:20,8/18/2021,0:20:00,H1,0
IN,8/18/2021 0:20,8/18/2021,0:20:00,C2,0
IN,8/18/2021 0:30,8/18/2021,0:30:00,H1,0
IN,8/18/2021 0:30,8/18/2021,0:30:00,C2,0
IN,8/18/2021 0:40,8/18/2021,0:40:00,H1,0
IN,8/18/2021 0:40,8/18/2021,0:40:00,C2,0
IN,8/18/2021 0:50,8/18/2021,0:50:00,H1,0
IN,8/18/2021 0:50,8/18/2021,0:50:00,C2,0
IN,8/18/2021 1:00,8/18/2021,1:00:00,H1,0
IN,8/18/2021 1:00,8/18/2021,1:00:00,C2,0
IN,8/18/2021 1:10,8/18/2021,1:10:00,H1,0
IN,8/18/2021 1:10,8/18/2021,1:10:00,C2,0
IN,8/18/2021 1:20,8/18/2021,1:20:00,H1,0
IN,8/18/2021 1:20,8/18/2021,1:20:00,C2,0
IN,8/18/2021 1:30,8/18/2021,1:30:00,H1,0
IN,8/18/2021 1:30,8/18/2021,1:30:00,C2,0
IN,8/18/2021 1:40,8/18/2021,1:40:00,H1,0
IN,8/18/2021 1:40,8/18/2021,1:40:00,C2,0
IN,8/18/2021 1:50,8/18/2021,1:50:00,H1,0
IN,8/18/2021 1:50,8/18/2021,1:50:00,C2,0
IN,8/18/2021 2:00,8/18/2021,2:00:00,H1,0
IN,8/18/2021 2:00,8/18/2021,2:00:00,C2,0
IN,8/18/2021 2:10,8/18/2021,2:10:00,H1,0
IN,8/18/2021 2:10,8/18/2021,2:10:00,C2,0
IN,8/18/2021 2:20,8/18/2021,2:20:00,H1,0
IN,8/18/2021 2:20,8/18/2021,2:20:00,C2,0
IN,8/18/2021 2:30,8/18/2021,2:30:00,H1,0
IN,8/18/2021 2:30,8/18/2021,2:30:00,C2,0
IN,8/18/2021 2:40,8/18/2021,2:40:00,H1,0
IN,8/18/2021 2:40,8/18/2021,2:40:00,C2,0
IN,8/18/2021 2:50,8/18/2021,2:50:00,H1,0
IN,8/18/2021 2:50,8/18/2021,2:50:00,C2,0
IN,8/18/2021 3:00,8/18/2021,3:00:00,H1,0
IN,8/18/2021 3:00,8/18/2021,3:00:00,C2,0
IN,8/18/2021 3:10,8/18/2021,3:10:00,H1,0
IN,8/18/2021 3:10,8/18/2021,3:10:00,C2,0
IN,8/18/2021 3:20,8/18/2021,3:20:00,H1,0
IN,8/18/2021 3:20,8/18/2021,3:20:00,C2,0
IN,8/18/2021 3:30,8/18/2021,3:30:00,H1,0
IN,8/18/2021 3:30,8/18/2021,3:30:00,C2,0
IN,8/18/2021 3:40,8/18/2021,3:40:00,H1,0
IN,8/18/2021 3:40,8/18/2021,3:40:00,C2,0
IN,8/18/2021 3:50,8/18/2021,3:50:00,H1,0
IN,8/18/2021 3:50,8/18/2021,3:50:00,C2,0
IN,8/18/2021 4:00,8/18/2021,4:00:00,H1,0
IN,8/18/2021 4:00,8/18/2021,4:00:00,C2,0
IN,8/18/2021 4:10,8/18/2021,4:10:00,H1,0
IN,8/18/2021 4:10,8/18/2021,4:10:00,C2,0
IN,8/18/2021 4:20,8/18/2021,4:20:00,H1,0
IN,8/18/2021 4:20,8/18/2021,4:20:00,C2,0
IN,8/18/2021 4:30,8/18/2021,4:30:00,H1,0
IN,8/18/2021 4:30,8/18/2021,4:30:00,C2,0
IN,8/18/2021 4:40,8/18/2021,4:40:00,H1,0
IN,8/18/2021 4:40,8/18/2021,4:40:00,C2,0
IN,8/18/2021 4:50,8/18/2021,4:50:00,H1,0
IN,8/18/2021 4:50,8/18/2021,4:50:00,C2,0
IN,8/18/2021 5:00,8/18/2021,5:00:00,H1,0
IN,8/18/2021 5:00,8/18/2021,5:00:00,C2,0
IN,8/18/2021 5:10,8/18/2021,5:10:00,H1,0
