"Native","Transplant","Overlap","Site","Genotype","TimeP","pOverlap"
0.626833136315655,0.372928719341562,0.333471999925206,"KL","AC10","TP1",0.531994849355378
0.272720177433792,0.210764252352524,0.148256774430085,"KL","AC10","TP2",0.543622315829848
0.16430643045573,0.211310545986296,0.0772123408736413,"KL","AC10","TP3",0.469928904544276
0.345453234424109,0.716734543969125,0.343661890343038,"KL","AC10","TP4",0.994814510612247
0.36427630365608,0.27746893269603,0.21826543693547,"KL","AC12","TP1",0.599175501521335
0.320746495047176,0.430510548947684,0.165877372499843,"KL","AC12","TP2",0.517160358916611
0.367084430664269,0.373201697501475,0.213807635328137,"KL","AC12","TP3",0.582448116748605
0.751530017027967,0.40110632573252,0.332036921621521,"KL","AC12","TP4",0.441814583713647
0.501320589602035,0.21279610790217,0.190411911138638,"KL","AC8","TP1",0.379820647880817
0.0855414275151762,0.505809905931528,0.0855414275151483,"KL","AC8","TP2",0.999999999999673
1.43938250829962,0.419457891660354,0.395623505912188,"KL","AC8","TP3",0.274856407960348
1.57080139913118,0.293631407667284,0.263745799772671,"KL","AC8","TP4",0.167905248823021
0.69491674083355,0.313346751720575,0.21789170335758,"SS","AC10","TP1",0.313550804800328
0.163905919978223,0.128897061106416,0.0385019545565173,"SS","AC10","TP2",0.23490276959876
0.247576749197485,0.489213901811318,0.165432918528774,"SS","AC10","TP3",0.668208622437373
0.233655316813206,0.686058647291816,0.225907623422434,"SS","AC10","TP4",0.966841356334444
0.372562743810512,0.362084582525526,0.126607262035372,"SS","AC12","TP1",0.339828026657881
0.755146358424277,0.241063015520417,0.103088693230493,"SS","AC12","TP2",0.136514851830316
0.288151710674615,0.828207625445318,0.169204370005747,"SS","AC12","TP3",0.587205849340991
0.276977078257161,0.601538956603722,0.252679290347303,"SS","AC12","TP4",0.912275094882405
0.104509281297531,0.261414212635901,0.0420750812057318,"SS","AC8","TP1",0.40259659891782
0.377774626471836,0.194722790480318,0.160299684908246,"SS","AC8","TP2",0.4243262349442
0.0395595136421121,0.230460722528143,0.0267441634964876,"SS","AC8","TP3",0.676048844746609
0.331840298696561,0.543805061907166,0.238889561838339,"SS","AC8","TP4",0.719893161791008
